empty_slots,free_bikes,id,latitude,longitude,name,timestamp,extra.online,extra.slots,extra.slots_available,extra.uid,network_id,extra.address,extra.last_updated,extra.renting,extra.returning
0,0,116978dc6ed165d95a1ce386466bf165,50.9461755412333,1.89117629896361,a,2023-09-24T17:27:39.840000Z,False,0,0.0,52,vel-in,,,,
0,0,3b58c82f8aca0fd26a55dd5fcb82f9ec,50.9607702279798,1.87392179485119,b,2023-09-24T17:27:39.842000Z,False,0,0.0,54,vel-in,,,,
15,0,fedaa58e592a7e4156cf9f89e3f44560,50.9466094970703,1.85830295085907,01 : Lafayette,2023-09-24T17:27:39.764000Z,True,15,15.0,1,vel-in,,,,
17,1,a75dfb30a2a5e87b7ad50863923461ce,50.9473774202641,1.85376906394959,02 : Théatre,2023-09-24T17:27:39.774000Z,True,18,18.0,2,vel-in,,,,
25,2,9723c2436cfc9652882bf1b7c7e182e7,50.9533029460493,1.85127753019333,04 : Gare SNCF,2023-09-24T17:27:39.775000Z,True,27,27.0,4,vel-in,,,,
14,1,9f1b2e94cbc6ea6cdb20e548ea28f31a,50.9550294770367,1.8502995967865,05 : Richelieu,2023-09-24T17:27:39.776000Z,True,15,15.0,5,vel-in,,,,
6,9,db957c09b32adefad9c19798a6818962,50.9588776267415,1.84921402937107,06 : Place d'Armes,2023-09-24T17:27:39.792000Z,True,15,15.0,6,vel-in,,,,
9,6,2035df637be1e0881ccd43656c5067d6,50.9652289200567,1.84306496288627,07 : Pluviose,2023-09-24T17:27:39.797000Z,True,15,15.0,7,vel-in,,,,
7,5,cb33dacad30230c56f961d22df427c99,50.9583526562474,1.825364112854,09 : Eglise de Blériot,2023-09-24T17:27:39.799000Z,True,15,12.0,9,vel-in,,,,
8,4,a45e64e2053c178b7116aa3f2454150a,50.9551080489436,1.7996609210968,11 : Base de voile,2023-09-24T17:27:39.799000Z,True,12,12.0,11,vel-in,,,,
5,1,918e267f5a72e1213e089f3b2a964950,50.9433964178014,1.80812895298004,12 : CC La Française,2023-09-24T17:27:39.800000Z,True,6,6.0,12,vel-in,,,,
9,3,e4c1694919dcecf427c03fb34d2d4c05,50.9452402344141,1.83069121837616,17 : Mogador,2023-09-24T17:27:39.803000Z,True,12,12.0,17,vel-in,,,,
11,1,e2a6cce5d2fd8bef1dc2bc286a4b92ca,50.9567044570158,1.89690744876862,18 : Piscine patinoire Icéo,2023-09-24T17:27:39.804000Z,True,15,12.0,18,vel-in,,,,
8,4,a5e0f817b0e2a8bf9310e294d8a71e15,50.9623985290527,1.85080003738403,19 : Matelote,2023-09-24T17:27:39.805000Z,True,12,12.0,22,vel-in,,,,
0,0,690228976cdad4087c2a3efefb5347ca,50.9505437554394,1.88234746456146,20 : IUT,2023-09-24T17:27:39.809000Z,True,12,0.0,23,vel-in,,,,
27,3,f8f05a96b2a991fa46d55077546aa644,50.9559561784671,1.83498778056332,21 : Coubertin,2023-09-24T17:27:39.810000Z,True,30,30.0,25,vel-in,,,,
8,1,96988b717871cb59046af9f0ee8df14b,50.9556917599038,1.86437272142598,22 : Diderot,2023-09-24T17:27:39.811000Z,True,9,9.0,26,vel-in,,,,
11,4,d8361e34a92bcfbef112a9de53b10aec,50.9393852948121,1.86540134858319,25 : Copernic,2023-09-24T17:27:39.812000Z,True,15,15.0,29,vel-in,,,,
8,4,ec410409bb07006933bd5c30ce3da8ee,50.9409605094533,1.84435941886136,26 : Joffre,2023-09-24T17:27:39.813000Z,True,12,12.0,30,vel-in,,,,
6,6,05d4fbd7ed8b0b2e36a72f19c1cd2e7b,50.9327339880248,1.85615309189984,27 : Montréal,2023-09-24T17:27:39.817000Z,True,12,12.0,31,vel-in,,,,
7,2,37da2ded45352e7de81d29a301407127,50.9348139969917,1.79933988165089,28 : Coquelles - Charles de Gaulle,2023-09-24T17:27:39.818000Z,True,9,9.0,32,vel-in,,,,
1,2,52311c660c34a0126f10cd2666240423,50.9471729601747,1.7579708309097,29 : Sangatte - Mairie,2023-09-24T17:27:39.819000Z,True,9,3.0,33,vel-in,,,,
6,3,17a3bc026ae6d1a8437ed7f0d225ed4e,50.9254899962998,1.8871782035751,30 : Coulogne - Eglise,2023-09-24T17:27:39.820000Z,True,9,9.0,34,vel-in,,,,
2,4,60f4d6754bff5e99a20c71e6b6e168a8,50.9265328935458,1.86913984827697,31 : Coulogne - Marronniers,2023-09-24T17:27:39.820000Z,True,6,6.0,35,vel-in,,,,
8,4,eaae0a80aaa0b0d5d212fb0d7dd17613,50.9531683032271,1.9350127191467,33 : Marck - Stade,2023-09-24T17:27:39.821000Z,True,12,12.0,37,vel-in,,,,
10,2,c1f2ebdde01bc98bda500f3cc58f8e6d,50.9473503982859,1.93305470656583,34 : Marck - Schweitzer,2023-09-24T17:27:39.824000Z,True,12,12.0,38,vel-in,,,,
5,4,18c2b72c61bbc73033d984cbd4fc76b7,50.93973702973,1.89368051026247,35 : Hôpital,2023-09-24T17:27:39.824000Z,True,12,9.0,39,vel-in,,,,
5,4,c6e13f41b221119ef0cbf991d0524b7e,50.9493393563634,1.84845882627997,36 : Conservatoire,2023-09-24T17:27:39.825000Z,True,9,9.0,40,vel-in,,,,
5,4,eedad53a6aa381806466d4365f2b711e,50.9555460692196,1.92862474825233,38 : Dryades,2023-09-24T17:27:39.826000Z,True,9,9.0,42,vel-in,,,,
4,2,02a39978078694f5fedf389e32d25717,50.9406381545956,1.8501793127507,39 :  Gare des Fontinettes,2023-09-24T17:27:39.829000Z,True,12,6.0,44,vel-in,,,,
7,2,4160a89f608044e674d8bfeb1040e490,50.9591633311727,1.8324513360858,40 : Camping de Calais,2023-09-24T17:27:39.830000Z,True,9,9.0,45,vel-in,,,,
7,2,8e28c3784940d2ad4cd63037aa95c521,50.9630246477014,1.86262754766244,41 : Quai de la Loire,2023-09-24T17:27:39.830000Z,True,9,9.0,46,vel-in,,,,
3,0,5a2567d019a85ca5828f8f49ca6da5bf,50.9665196007155,1.86257956495888,42 : Terminal Transmanche,2023-09-24T17:27:39.831000Z,True,6,3.0,47,vel-in,,,,
8,1,990fb474b773299604dd919747990f14,50.9608768967839,1.84787910397336,43 : Gavet,2023-09-24T17:27:39.837000Z,True,9,9.0,48,vel-in,,,,
9,3,9d69090c97b0e7f48507d1b8e0aea385,50.9542196998674,1.90216401284113,45 : N. Niemen,2023-09-24T17:27:39.839000Z,True,18,12.0,50,vel-in,,,,
13,2,18ce6a4e1fc97e03ca8b46c45dac7a4f,50.9391749469231,1.8746679497533,47 : Détroit,2023-09-24T17:27:39.839000Z,True,18,15.0,51,vel-in,,,,
2,1,665e3448257e49e150f228524e3906ab,50.9678605017257,1.89620947974424,44 : Garennes,2023-09-24T17:27:39.841000Z,True,3,3.0,53,vel-in,,,,
