category_alias,category_title,id
museums,Museums,JNbPJxM07pzJ-6JiXkZu6g
arttours,Art Tours,JNbPJxM07pzJ-6JiXkZu6g
fashion,Fashion,JNbPJxM07pzJ-6JiXkZu6g
bakeries,Bakeries,3zZOFdwxA_JDcAKEKomknA
breakfast_brunch,Breakfast & Brunch,3zZOFdwxA_JDcAKEKomknA
tea,Tea Rooms,3zZOFdwxA_JDcAKEKomknA
french,French,pjuZB_Qf-bFzvLDiEqApjA
seafood,Seafood,pjuZB_Qf-bFzvLDiEqApjA
french,French,zpRDPVf_Izk5B7foS9yd8Q
danceclubs,Dance Clubs,zpRDPVf_Izk5B7foS9yd8Q
french,French,7bHtpYzGmCrvvXGWmnszNQ
bistros,Bistros,7O17125BuwZOv02DV1nY_w
cocktailbars,Cocktail Bars,G2OzmHeJnDaQwXsFBRYC3g
champagne_bars,Champagne Bars,G2OzmHeJnDaQwXsFBRYC3g
persian,Persian/Iranian,-NTjIQv5RSWi1N6IcGMubg
desserts,Desserts,4mMD5DFOsyLYlffxHRjUOQ
cakeshop,Patisserie/Cake Shop,4mMD5DFOsyLYlffxHRjUOQ
chocolate,Chocolatiers & Shops,4mMD5DFOsyLYlffxHRjUOQ
french,French,F0lJ6g6Q6SItwW9FS4WM8A
italian,Italian,ivik9fxKe1Kw3EkTjp7yKA
japanese,Japanese,FXCx3Tuj8NJfCKPHJzyakg
french,French,vf0SfwWuKbwmJJvtmzAKcg
lebanese,Lebanese,fqn_3FlonAbku67LZOFzFQ
sandwiches,Sandwiches,fqn_3FlonAbku67LZOFzFQ
french,French,wxS-igraHYS5C3ELPNdnVg
financialadvising,Financial Advising,EZDvf7GO4LdTBElWpR95Fg
cafes,Cafes,EZDvf7GO4LdTBElWpR95Fg
coffee,Coffee & Tea,EZDvf7GO4LdTBElWpR95Fg
japanese,Japanese,GzWfXIXbGwacNHfJZyr-aw
sushi,Sushi Bars,GzWfXIXbGwacNHfJZyr-aw
coffee,Coffee & Tea,NlnxJAbtdC0IEkQ8--4Z2w
breakfast_brunch,Breakfast & Brunch,NlnxJAbtdC0IEkQ8--4Z2w
sandwiches,Sandwiches,NlnxJAbtdC0IEkQ8--4Z2w
italian,Italian,_nILmFStE93xzMLDt7sr6g
